Value,Year,ProviderType,Purpose
4071,2012,COLLEGE,EDUCATION
106597,2012,COMPANY,EDUCATION
1428852,2012,COMPANY,EDUCATION
1584845,2012,COMPANY,EDUCATION
2461534,2012,COLLEGE,EDUCATION
16705466,2012,COLLEGE,EDUCATION
2857,2012,COMPANY,EDUCATION
3107829,2012,COMPANY,EDUCATION
3538873,2012,COMPANY,EDUCATION
6563,2012,COMPANY,EDUCATION
165977,2012,COMPANY,EDUCATION
250992,2012,COMPANY,EDUCATION
4119,2012,COLLEGE,EDUCATION
1018747,2012,COLLEGE,EDUCATION
6832823,2012,COLLEGE,EDUCATION
1383424,2012,COMPANY,EDUCATION
2154228,2012,COMPANY,EDUCATION
9847,2012,COMPANY,EDUCATION
124083,2012,COMPANY,EDUCATION
177481,2012,COMPANY,EDUCATION
313570,2012,COMPANY,EDUCATION
268055,2012,COMPANY,EDUCATION
599161,2012,COMPANY,EDUCATION
1165081,2012,COLLEGE,EDUCATION
7508588,2012,COLLEGE,EDUCATION
171546,2012,COMPANY,EDUCATION
193887,2012,COMPANY,EDUCATION
620345,2012,COMPANY,EDUCATION
170137,2012,COMPANY,EDUCATION
904553,2012,COMPANY,EDUCATION
51208,2012,COMPANY,EDUCATION
1150031,2012,COMPANY,EDUCATION
39556,2012,COMPANY,EDUCATION
665998,2012,COMPANY,EDUCATION
1137084,2012,COMPANY,EDUCATION
3011371,2012,COLLEGE,EDUCATION
12593732,2012,COLLEGE,EDUCATION
127482,2012,COMPANY,EDUCATION
1008506,2012,COMPANY,EDUCATION
1127,2012,COMPANY,EDUCATION
15749,2012,COMPANY,EDUCATION
28644,2012,COMPANY,EDUCATION
984030,2012,COMPANY,EDUCATION
1897552,2012,COMPANY,EDUCATION
36701,2012,COMPANY,EDUCATION
248085,2012,COMPANY,EDUCATION
5163,2012,COMPANY,EDUCATION
142269,2012,COMPANY,EDUCATION
131566,2012,COMPANY,EDUCATION
755429,2012,COMPANY,EDUCATION
292851,2012,COLLEGE,EDUCATION
21910183,2012,COLLEGE,EDUCATION
