,Institution,Year,Purpose,Region,Value
211,APPRENTICESHIPSANDTRAININGSERVICESCONSORTIUM,2012,EDUCATION,UNKNOWN,931708
212,APPRENTICESHIPSTRAININGSERVICESCONSORTIUM,2013,EDUCATION,UNKNOWN,1499836
213,APPRENTICESHIPSTRAININGSERVICESCONSORTIUM,2014,EDUCATION,UNKNOWN,2115358
214,APPRENTICESHIPSTRAININGSERVICESCONSORTIUM,2015,EDUCATION,UNKNOWN,2934115
215,APPRENTICESHIPSTRAININGSERVICESCONSORTIUM,2016,EDUCATION,UNKNOWN,2256055
216,APPRISCHARITY,2012,EDUCATION,UNKNOWN,1074139
217,APPRISCHARITY,2013,EDUCATION,UNKNOWN,1187594
218,APPRISCHARITY,2014,EDUCATION,UNKNOWN,1329294
219,APPRISCHARITY,2015,EDUCATION,UNKNOWN,1304274
220,APPRISCHARITY,2016,EDUCATION,UNKNOWN,1090840
221,APSBIOCONTROL,2015,RESEARCH,SCOTLAND,244826
222,APSBIOCONTROL,2016,RESEARCH,SCOTLAND,145681
223,APSU,2014,BUSINESS,UNKNOWN,7000000
224,AQUINASCOLLEGE,2012,EDUCATION,UNKNOWN,113676
225,AQUINASCOLLEGE,2013,EDUCATION,UNKNOWN,77852
226,AQUINASCOLLEGE,2014,EDUCATION,UNKNOWN,72947
227,AQUINASCOLLEGE,2015,EDUCATION,UNKNOWN,83018
228,AQUINASCOLLEGE,2016,EDUCATION,UNKNOWN,96468
229,ARCANUMSOLUTIONSP4CONSULTING,2012,EDUCATION,UNKNOWN,337180
230,ARCHBIOCIDES,2015,RESEARCH,NORTH EAST,477468
231,ARMAGHOBSERVATORY,2014,RESEARCH,NORTHERN IRELAND,42201
232,ARMAGHOBSERVATORY,2015,RESEARCH,NORTHERN IRELAND,798765
233,ARTSUNIVERSITYBOURNEMOUTHTHE,2013,EDUCATION,UNKNOWN,258638
234,ARTSUNIVERSITYBOURNEMOUTHTHE,2014,EDUCATION,UNKNOWN,153390
235,ARTSUNIVERSITYBOURNEMOUTHTHE,2015,EDUCATION,UNKNOWN,95575
236,ASHTONSIXTHFORMCOLLEGE,2012,EDUCATION,UNKNOWN,12890
237,ASHTONSIXTHFORMCOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,12890
238,ASHTONSIXTHFORMCOLLEGE,2013,EDUCATION,UNKNOWN,663826
239,ASHTONSIXTHFORMCOLLEGE,2013,RESEARCH,UNKNOWN,10462
240,ASHTONSIXTHFORMCOLLEGE,2014,EDUCATION,UNKNOWN,219114
241,ASHTONSIXTHFORMCOLLEGE,2015,EDUCATION,UNKNOWN,184506
242,ASHTONSIXTHFORMCOLLEGE,2016,EDUCATION,UNKNOWN,218812
243,ASHTONUNDERLYNESIXTHFORMCOLLEGE,2012,EDUCATION,UNKNOWN,302106
244,ASHWOODSAUTOMOTIVE,2016,RESEARCH,SOUTH WEST,1708469
245,ASKHAMBRYANCOLLEGE,2012,EDUCATION,UNKNOWN,5743439
246,ASKHAMBRYANCOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,1162469
247,ASKHAMBRYANCOLLEGE,2013,EDUCATION,UNKNOWN,4398689
248,ASKHAMBRYANCOLLEGE,2013,RESEARCH,UNKNOWN,870419
249,ASKHAMBRYANCOLLEGE,2014,EDUCATION,UNKNOWN,4961031
250,ASKHAMBRYANCOLLEGE,2015,EDUCATION,UNKNOWN,4746925
251,ASKHAMBRYANCOLLEGE,2016,EDUCATION,UNKNOWN,5052502
252,ASPIRATIONTRAINING,2013,EDUCATION,UNKNOWN,3643807
253,ASPIRATIONTRAINING,2014,EDUCATION,UNKNOWN,4471584
254,ASPIRATIONTRAINING,2015,EDUCATION,UNKNOWN,4400595
255,ASPIRATIONTRAINING,2016,EDUCATION,UNKNOWN,3641338
256,ASPIREACHIEVEADVANCE,2012,EDUCATION,UNKNOWN,390100
257,ASPIREACHIEVEADVANCE,2013,EDUCATION,UNKNOWN,4203882
258,ASPIREACHIEVEADVANCE,2014,EDUCATION,UNKNOWN,14835506
259,ASPIREACHIEVEADVANCE,2015,EDUCATION,UNKNOWN,24979955
260,ASPIREACHIEVEADVANCE,2016,EDUCATION,UNKNOWN,20309375
261,ASPIRETRAININGTEAM,2012,EDUCATION,UNKNOWN,658798
262,ASPIRETRAININGTEAM,2013,EDUCATION,UNKNOWN,751058
263,ASPIRETRAININGTEAM,2014,EDUCATION,UNKNOWN,752457
264,ASPIRETRAININGTEAM,2015,EDUCATION,UNKNOWN,767441
265,ASPIRETRAININGTEAM,2016,EDUCATION,UNKNOWN,626220
266,ASSETTRAININGANDCONSULTANCY,2012,EDUCATION,UNKNOWN,3859582
267,ASSETTRAININGCONSULTANCY,2013,EDUCATION,UNKNOWN,6756334
268,ASSETTRAININGCONSULTANCY,2014,EDUCATION,UNKNOWN,5947184
269,ASSETTRAININGCONSULTANCY,2015,EDUCATION,UNKNOWN,5282308
270,ASSETTRAININGCONSULTANCY,2016,EDUCATION,UNKNOWN,4199514
271,ASSISTMI,2016,RESEARCH,NORTH EAST,260632
272,ASTERANDACQUISITION,2016,RESEARCH,WEST MIDLANDS,465970
273,ASTONUNIVERSITY,2012,EDUCATION,WEST MIDLANDS,16214661
274,ASTONUNIVERSITY,2012,KNOWLEDGE EXCHANGE,WEST MIDLANDS,23797398
275,ASTONUNIVERSITY,2012,RESEARCH,WEST MIDLANDS,5892509
276,ASTONUNIVERSITY,2013,EDUCATION,WEST MIDLANDS,12004339
277,ASTONUNIVERSITY,2013,KNOWLEDGE EXCHANGE,WEST MIDLANDS,1690228
278,ASTONUNIVERSITY,2013,RESEARCH,WEST MIDLANDS,12004339
