,Value,Year,ProviderType,Purpose
466,21138.0,2012,COMPANY,EDUCATION
467,248523.0,2012,COMPANY,EDUCATION
468,592712.0,2012,COMPANY,EDUCATION
469,4071.0,2012,COLLEGE,EDUCATION
470,106597.0,2012,COMPANY,EDUCATION
471,1428852.0,2012,COMPANY,EDUCATION
472,1584845.0,2012,COMPANY,EDUCATION
473,2461534.0,2012,COLLEGE,EDUCATION
474,16705466.0,2012,COLLEGE,EDUCATION
475,2857.0,2012,COMPANY,EDUCATION
476,3107829.0,2012,COMPANY,EDUCATION
477,3538873.0,2012,COMPANY,EDUCATION
478,6563.0,2012,COMPANY,EDUCATION
479,165977.0,2012,COMPANY,EDUCATION
480,250992.0,2012,COMPANY,EDUCATION
481,4119.0,2012,COLLEGE,EDUCATION
482,1018747.0,2012,COLLEGE,EDUCATION
483,6832823.0,2012,COLLEGE,EDUCATION
484,1383424.0,2012,COMPANY,EDUCATION
485,2154228.0,2012,COMPANY,EDUCATION
486,9847.0,2012,COMPANY,EDUCATION
487,124083.0,2012,COMPANY,EDUCATION
488,177481.0,2012,COMPANY,EDUCATION
489,313570.0,2012,COMPANY,EDUCATION
490,268055.0,2012,COMPANY,EDUCATION
491,599161.0,2012,COMPANY,EDUCATION
492,1165081.0,2012,COLLEGE,EDUCATION
493,7508588.0,2012,COLLEGE,EDUCATION
494,171546.0,2012,COMPANY,EDUCATION
495,193887.0,2012,COMPANY,EDUCATION
496,620345.0,2012,COMPANY,EDUCATION
497,170137.0,2012,COMPANY,EDUCATION
498,904553.0,2012,COMPANY,EDUCATION
499,51208.0,2012,COMPANY,EDUCATION
500,1150031.0,2012,COMPANY,EDUCATION
501,39556.0,2012,COMPANY,EDUCATION
502,665998.0,2012,COMPANY,EDUCATION
503,1137084.0,2012,COMPANY,EDUCATION
504,3011371.0,2012,COLLEGE,EDUCATION
505,12593732.0,2012,COLLEGE,EDUCATION
506,127482.0,2012,COMPANY,EDUCATION
507,1008506.0,2012,COMPANY,EDUCATION
508,1127.0,2012,COMPANY,EDUCATION
509,15749.0,2012,COMPANY,EDUCATION
510,28644.0,2012,COMPANY,EDUCATION
511,984030.0,2012,COMPANY,EDUCATION
512,1897552.0,2012,COMPANY,EDUCATION
513,36701.0,2012,COMPANY,EDUCATION
514,248085.0,2012,COMPANY,EDUCATION
515,5163.0,2012,COMPANY,EDUCATION
516,142269.0,2012,COMPANY,EDUCATION
517,131566.0,2012,COMPANY,EDUCATION
