LeadROName,ProjectCategory,year,AwardPounds,ProviderType
BABRAHAM INSTITUTE,RESEARCH,2015,284210,COMPANY
BABRAHAM INSTITUTE,RESEARCH,2016,96696,COMPANY
BAE SYSTEMS (OPERATIONS) LIMITED,RESEARCH,2018,516025,COMPANY
BAM NUTTALL LIMITED,RESEARCH,2015,431090,COMPANY
BANGOR UNIVERSITY,EDUCATION,2018,917706,UNIVERSITY
BANGOR UNIVERSITY,BUSINESS,2016,66203,UNIVERSITY
BANGOR UNIVERSITY,BUSINESS,2017,188540,UNIVERSITY
BANGOR UNIVERSITY,BUSINESS,2018,88668,UNIVERSITY
BANGOR UNIVERSITY,RESEARCH,2014,3898100,UNIVERSITY
BANGOR UNIVERSITY,RESEARCH,2015,2075481,UNIVERSITY
BANGOR UNIVERSITY,RESEARCH,2016,1336794,UNIVERSITY
BANGOR UNIVERSITY,RESEARCH,2017,6201798,UNIVERSITY
BANGOR UNIVERSITY,RESEARCH,2018,1817478,UNIVERSITY
BARE CONDUCTIVE LTD,RESEARCH,2018,89996,COMPANY
BARRIER EX LIMITED,RESEARCH,2018,214929,COMPANY
BARRNON LTD,BUSINESS,2018,1499950,COMPANY
BASE MATERIALS LIMITED,RESEARCH,2017,1057204,COMPANY
BATH SPA UNIVERSITY,EDUCATION,2016,131113,UNIVERSITY
BATH SPA UNIVERSITY,RESEARCH,2014,766260,UNIVERSITY
BATH SPA UNIVERSITY,RESEARCH,2016,79794,UNIVERSITY
BATH SPA UNIVERSITY,RESEARCH,2017,1429856,UNIVERSITY
BE MORE DIGITAL LIMITED,RESEARCH,2018,46876,COMPANY
BEAMLINE DIAGNOSTICS LIMITED,RESEARCH,2018,750594,COMPANY
BEKO PLC,RESEARCH,2017,104227,COMPANY
BELLVEDI LIMITED,RESEARCH,2018,446637,COMPANY
BENNAMANN LTD,RESEARCH,2017,383770,COMPANY
BENTLEY MOTORS LIMITED,RESEARCH,2018,1327001,COMPANY
BERAN INSTRUMENTS LIMITED,RESEARCH,2015,565322,COMPANY
BERINGAR LTD,RESEARCH,2018,51237,COMPANY
BERRY GARDENS GROWERS LIMITED,RESEARCH,2017,689440,COMPANY
BERRY GARDENS GROWERS LIMITED,RESEARCH,2018,495791,COMPANY
BERRY GARDENS GROWERS LIMITED,RESEARCH,2016,184132,COMPANY
BERRY GARDENS LIMITED,RESEARCH,2018,103784,COMPANY
BETA BUGS LIMITED,RESEARCH,2018,69908,COMPANY
BFB LABS LTD,RESEARCH,2018,325031,COMPANY
BICYCLE THERAPEUTICS LIMITED,RESEARCH,2018,119649,COMPANY
BIG COUCH LTD,RESEARCH,2018,248742,COMPANY
BIG HEALTH LTD,RESEARCH,2018,820979,COMPANY
BIO-FLEX YARNS LIMITED,RESEARCH,2018,506680,COMPANY
BIOCATALYSTS LIMITED,RESEARCH,2018,59736,COMPANY
BIOGELX LIMITED,EDUCATION,2017,121315,COMPANY
