LeadROName,ProjectCategory,year,Region,AwardPounds
ASTON UNIVERSITY,TRAINING GRANT,2014,WEST MIDLANDS,188252.0
ASTON UNIVERSITY,TRAINING GRANT,2015,WEST MIDLANDS,190084.0
ASTON UNIVERSITY,TRAINING GRANT,2016,WEST MIDLANDS,958552.0
ASTON UNIVERSITY,TRAINING GRANT,2017,WEST MIDLANDS,189293.0
ASTON UNIVERSITY,TRAINING GRANT,2018,WEST MIDLANDS,592814.0
ASTONISHING LTD,CRD,2018,UNKNOWN,34989.0
ASTRAGUARD SYSTEMS LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,69129.0
ASTRAZENECA UK LIMITED,COLLABORATIVE R&D,2014,NORTH WEST,585159.0
ASTROSCALE LTD,COLLABORATIVE R&D,2018,UNKNOWN,4179308.0
ATG UV TECHNOLOGY LIMITED,COLLABORATIVE R&D,2017,NORTH WEST,321118.0
ATHENE WORKS LIMITED,COLLABORATIVE R&D,2016,NORTH EAST,1685818.0
ATKINS UK,COLLABORATIVE R&D,2015,EAST OF ENGLAND,3221648.0
ATKINS UK,COLLABORATIVE R&D,2016,EAST OF ENGLAND,3727464.0
ATLAS GENETICS LIMITED,SMALL BUSINESS RESEARCH INITIATIVE,2017,SOUTH WEST,1998984.0
ATMOS INTERNATIONAL LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,245680.0
ATTENBOROUGH DENTAL LABORATORIES LTD,FEASIBILITY STUDIES,2018,UNKNOWN,754741.0
ATWELL INTERNATIONAL LIMITED,CRD,2018,UNKNOWN,280320.0
AUGMENTED INSTRUMENTS LTD,FEASIBILITY STUDIES,2018,LONDON,78703.0
AURECON,RESEARCH GRANT,2015,OUTSIDE UK,177348.0
AURELIUS ENVIRONMENTAL LTD,COLLABORATIVE R&D,2018,UNKNOWN,697779.0
AUTIFONY THERAPEUTICS LIMITED,COLLABORATIVE R&D,2015,LONDON,2421118.0
AUTOCRAFT DRIVETRAIN SOLUTIONS LIMITED,FEASIBILITY STUDIES,2017,EAST MIDLANDS,58756.0
AUTOLUS LIMITED,COLLABORATIVE R&D,2015,LONDON,1482960.0
AUTOLUS LIMITED,COLLABORATIVE R&D,2017,LONDON,1961446.0
AUTOLUS LIMITED,COLLABORATIVE R&D,2018,LONDON,1225847.0
AUTONAUT LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,395001.0
AUTONOMOUS DEVICES LIMITED,FEASIBILITY STUDIES,2017,SOUTH EAST,62960.0
AUTONOMOUS SURFACE VEHICLES LIMITED,COLLABORATIVE R&D,2015,SOUTH EAST,714196.0
AUTONOMOUS SURFACE VEHICLES LIMITED,COLLABORATIVE R&D,2018,SOUTH EAST,1356560.0
AUTONOMOUS SURFACE VEHICLES LIMITED,FEASIBILITY STUDIES,2017,SOUTH EAST,264245.0
AUTOTECH ENGINEERING R&D UK LIMITED,COLLABORATIVE R&D,2018,NORTHERN IRELAND,602904.0
AUTOTRIP LTD,FEASIBILITY STUDIES,2017,LONDON,161605.0
AVALON BEHAVIOUR VENTURES LIMITED,COLLABORATIVE R&D,2015,LONDON,438937.0
AVALON BEHAVIOUR VENTURES LIMITED,FEASIBILITY STUDIES,2018,LONDON,106006.0
AVALON PRODUCE LIMITED,COLLABORATIVE R&D,2016,SOUTH EAST,137307.0
AVALON SCIENCES LIMITED,FEASIBILITY STUDIES,2017,SOUTH WEST,220745.0
AVANTI COMMUNICATIONS LIMITED,COLLABORATIVE R&D,2015,LONDON,2075472.0
AVANTI COMMUNICATIONS LIMITED,COLLABORATIVE R&D,2016,LONDON,2125090.0
AVANTI COMMUNICATIONS LIMITED,COLLABORATIVE R&D,2017,LONDON,719531.0
AVANTI COMMUNICATIONS LIMITED,FEASIBILITY STUDIES,2017,LONDON,198318.0
AVL POWERTRAIN UK LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,1362496.0
AVL POWERTRAIN UK LIMITED,FEASIBILITY STUDIES,2018,EAST OF ENGLAND,317829.0
AVON POLYMER PRODUCTS LIMITED,FEASIBILITY STUDIES,2018,SOUTH WEST,106572.0
AVONWOOD DEVELOPMENTS LIMITED,COLLABORATIVE R&D,2017,SOUTH EAST,673685.0
AXI-TEK LTD,FEASIBILITY STUDIES,2018,EAST MIDLANDS,69030.0
AXIS BIOSERVICES LIMITED,EU-FUNDED,2018,UNKNOWN,307205.0
AYUDA HEURISTICS LTD,COLLABORATIVE R&D,2018,UNKNOWN,620129.0
AZELLON LTD,COLLABORATIVE R&D,2015,LONDON,1622220.0
B G RESEARCH LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,69849.0
B G RESEARCH LIMITED,CRD,2018,EAST OF ENGLAND,665353.0
B-HIVE INNOVATIONS LIMITED,COLLABORATIVE R&D,2017,EAST MIDLANDS,956027.0
B-HIVE INNOVATIONS LIMITED,CRD,2018,EAST MIDLANDS,510688.0
BABCOCK INTEGRATED TECHNOLOGY LIMITED,COLLABORATIVE R&D,2016,LONDON,694453.0
BABRAHAM INSTITUTE,FELLOWSHIP,2016,EAST OF ENGLAND,304482.0
BABRAHAM INSTITUTE,RESEARCH GRANT,2015,EAST OF ENGLAND,329409.0
BABRAHAM INSTITUTE,RESEARCH GRANT,2016,EAST OF ENGLAND,1892343.0
BABRAHAM INSTITUTE,RESEARCH GRANT,2017,EAST OF ENGLAND,1078788.0
BABRAHAM INSTITUTE,RESEARCH GRANT,2018,EAST OF ENGLAND,1448618.0
BABRAHAM INSTITUTE,TRAINING GRANT,2014,EAST OF ENGLAND,94126.0
BABRAHAM INSTITUTE,TRAINING GRANT,2015,EAST OF ENGLAND,284210.0
BABRAHAM INSTITUTE,TRAINING GRANT,2016,EAST OF ENGLAND,96696.0
BAE SYSTEMS (OPERATIONS) LIMITED,COLLABORATIVE R&D,2018,SOUTH EAST,516025.0
BAM NUTTALL LIMITED,COLLABORATIVE R&D,2015,SOUTH EAST,431090.0
BANGOR UNIVERSITY,FELLOWSHIP,2018,WALES,917706.0
BANGOR UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2016,WALES,66203.0
BANGOR UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2017,WALES,188540.0
BANGOR UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2018,WALES,88668.0
BANGOR UNIVERSITY,RESEARCH GRANT,2014,WALES,3898100.0
BANGOR UNIVERSITY,RESEARCH GRANT,2015,WALES,2075481.0
BANGOR UNIVERSITY,RESEARCH GRANT,2016,WALES,1336794.0
BANGOR UNIVERSITY,RESEARCH GRANT,2017,WALES,6201798.0
BANGOR UNIVERSITY,RESEARCH GRANT,2018,WALES,1817478.0
BARE CONDUCTIVE LTD,COLLABORATIVE R&D,2018,LONDON,89996.0
BARRIER EX LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,214929.0
BARRNON LTD,SMALL BUSINESS RESEARCH INITIATIVE,2018,NORTH WEST,1499950.0
BASE MATERIALS LIMITED,COLLABORATIVE R&D,2017,EAST MIDLANDS,1057204.0
BATH SPA UNIVERSITY,FELLOWSHIP,2016,SOUTH WEST,131113.0
