Value,Year,ProviderType,Purpose,ProviderName
1126362,2012,COLLEGE,EDUCATION,BURTON AND SOUTH DERBYSHIRE COLLEGE
5467378,2012,COLLEGE,EDUCATION,BURTON AND SOUTH DERBYSHIRE COLLEGE
115447,2012,COLLEGE,EDUCATION,BURY COLLEGE
1233556,2012,COLLEGE,EDUCATION,BURY COLLEGE
5516418,2012,COLLEGE,EDUCATION,BURY COLLEGE
605,2012,COMPANY,EDUCATION,BURY METROPOLITAN BOROUGH COUNCIL
793257,2012,COMPANY,EDUCATION,BURY METROPOLITAN BOROUGH COUNCIL
966899,2012,COMPANY,EDUCATION,BURY METROPOLITAN BOROUGH COUNCIL
705466,2012,COMPANY,EDUCATION,BUSINESS IMPACT
2155668,2012,COMPANY,EDUCATION,BUSINESS IMPACT
116151,2012,COMPANY,EDUCATION,BUSINESS MANAGEMENT RESOURCES (UK) LTD
619165,2012,COMPANY,EDUCATION,BUSINESS MANAGEMENT RESOURCES (UK) LTD
437496,2012,COMPANY,EDUCATION,BUSY BEES NURSERIES LIMITED
437897,2012,COMPANY,EDUCATION,BUSY BEES NURSERIES LIMITED
62254,2012,COMPANY,EDUCATION,CABLECOM
1453364,2012,COMPANY,EDUCATION,CABLECOM
806595,2012,COLLEGE,EDUCATION,CALDERDALE COLLEGE
6203438,2012,COLLEGE,EDUCATION,CALDERDALE COLLEGE
187216,2012,COMPANY,EDUCATION,CALDERDALE METROPOLITAN BOROUGH COUNCIL
857982,2012,COMPANY,EDUCATION,CALDERDALE METROPOLITAN BOROUGH COUNCIL
542142,2012,COLLEGE,EDUCATION,CAMBRIDGE REGIONAL COLLEGE
2849177,2012,COLLEGE,EDUCATION,CAMBRIDGE REGIONAL COLLEGE
11345590,2012,COLLEGE,EDUCATION,CAMBRIDGE REGIONAL COLLEGE
4805,2012,COMPANY,EDUCATION,CAMBRIDGESHIRE COUNTY COUNCIL
528379,2012,COMPANY,EDUCATION,CAMBRIDGESHIRE COUNTY COUNCIL
1719606,2012,COMPANY,EDUCATION,CAMBRIDGESHIRE COUNTY COUNCIL
192264,2012,COMPANY,EDUCATION,CAMDEN LONDON BOROUGH COUNCIL
1101657,2012,COMPANY,EDUCATION,CAMDEN LONDON BOROUGH COUNCIL
65259,2012,COLLEGE,EDUCATION,CANTERBURY COLLEGE
1017129,2012,COLLEGE,EDUCATION,CANTERBURY COLLEGE
6468631,2012,COLLEGE,EDUCATION,CANTERBURY COLLEGE
221936,2012,COLLEGE,EDUCATION,CAPEL MANOR COLLEGE
4448167,2012,COLLEGE,EDUCATION,CAPEL MANOR COLLEGE
271682,2012,COMPANY,EDUCATION,CAPITAL ENGINEERING GROUP HOLDINGS LTD
521915,2012,COMPANY,EDUCATION,CAPITAL ENGINEERING GROUP HOLDINGS LTD
61184,2012,COLLEGE,EDUCATION,CARDINAL NEWMAN COLLEGE
195639,2012,COMPANY,EDUCATION,CARE TRAINING EAST MIDLANDS LIMITED
4076415,2012,COMPANY,EDUCATION,CARE TRAINING EAST MIDLANDS LIMITED
104006,2012,COMPANY,EDUCATION,CAREER DEVELOPMENT CENTER LIMITED
1555003,2012,COMPANY,EDUCATION,CAREER DEVELOPMENT CENTER LIMITED
606170,2012,COLLEGE,EDUCATION,CARLISLE COLLEGE
2272295,2012,COLLEGE,EDUCATION,CARLISLE COLLEGE
34855,2012,COLLEGE,EDUCATION,CARMEL COLLEGE
457804,2012,COMPANY,EDUCATION,CARRILLION CONSTRUCTION LIMITED
6285840,2012,COMPANY,EDUCATION,CARRILLION CONSTRUCTION LIMITED
693849,2012,COLLEGE,EDUCATION,CARSHALTON COLLEGE
3312291,2012,COLLEGE,EDUCATION,CARSHALTON COLLEGE
418147,2012,COMPANY,EDUCATION,CATCH 22 CHARITY LIMITED
760852,2012,COMPANY,EDUCATION,CATCH 22 CHARITY LIMITED
40158,2012,COLLEGE,EDUCATION,CENTRAL BEDFORDSHIRE COLLEGE
219143,2012,COLLEGE,EDUCATION,CENTRAL BEDFORDSHIRE COLLEGE
3848865,2012,COLLEGE,EDUCATION,CENTRAL BEDFORDSHIRE COLLEGE
38877,2012,COMPANY,EDUCATION,CENTRAL BEDFORDSHIRE COUNCIL
658883,2012,COMPANY,EDUCATION,CENTRAL BEDFORDSHIRE COUNCIL
1031215,2012,COMPANY,EDUCATION,CENTRAL BEDFORDSHIRE COUNCIL
141501,2012,COLLEGE,EDUCATION,CENTRAL SUSSEX COLLEGE
1181892,2012,COLLEGE,EDUCATION,CENTRAL SUSSEX COLLEGE
6075027,2012,COLLEGE,EDUCATION,CENTRAL SUSSEX COLLEGE
674103,2012,COMPANY,EDUCATION,CENTRAL TRAINING ACADEMY LIMITED
2061901,2012,COMPANY,EDUCATION,CENTRAL TRAINING ACADEMY LIMITED
557876,2012,COMPANY,EDUCATION,CENTRAL TRAINING UK LIMITED
886120,2012,COMPANY,EDUCATION,CENTRAL TRAINING UK LIMITED
426244,2012,COMPANY,EDUCATION,CHAMBER TRAINING (HUMBER) LIMITED
626182,2012,COMPANY,EDUCATION,CHAMBER TRAINING (HUMBER) LIMITED
68906,2012,COMPANY,EDUCATION,CHAPMAN BENNETT ASSOCIATES LIMITED
295079,2012,COMPANY,EDUCATION,CHAPMAN BENNETT ASSOCIATES LIMITED
664255,2012,COMPANY,EDUCATION,CHARNWOOD TRAINING CONSULTANTS LTD
4551372,2012,COMPANY,EDUCATION,CHARNWOOD TRAINING CONSULTANTS LTD
334891,2012,COLLEGE,EDUCATION,CHEADLE AND MARPLE SIXTH FORM COLLEGE
721027,2012,COLLEGE,EDUCATION,CHEADLE AND MARPLE SIXTH FORM COLLEGE
556841,2012,COLLEGE,EDUCATION,CHELMSFORD COLLEGE
2119979,2012,COLLEGE,EDUCATION,CHELMSFORD COLLEGE
444880,2012,COMPANY,EDUCATION,CHESHIRE EAST COUNCIL
537097,2012,COMPANY,EDUCATION,CHESHIRE EAST COUNCIL
192086,2012,COMPANY,EDUCATION,CHESHIRE WEST AND CHESTER COUNCIL
613236,2012,COMPANY,EDUCATION,CHESHIRE WEST AND CHESTER COUNCIL
647126,2012,COMPANY,EDUCATION,CHESHIRE WEST AND CHESTER COUNCIL
3381593,2012,COLLEGE,EDUCATION,CHESTERFIELD COLLEGE
6970449,2012,COLLEGE,EDUCATION,CHESTERFIELD COLLEGE
156070,2012,COMPANY,EDUCATION,CHEYNES (MANAGEMENT) LIMITED
1029656,2012,COMPANY,EDUCATION,CHEYNES (MANAGEMENT) LIMITED
104475,2012,COLLEGE,EDUCATION,CHICHESTER COLLEGE
1498940,2012,COLLEGE,EDUCATION,CHICHESTER COLLEGE
9683908,2012,COLLEGE,EDUCATION,CHICHESTER COLLEGE
116933,2012,COMPANY,EDUCATION,CHILDRENS LINKS
118589,2012,COMPANY,EDUCATION,CHILDRENS LINKS
440351,2012,COMPANY,EDUCATION,CHILTERN TRAINING LIMITED
1059872,2012,COMPANY,EDUCATION,CHILTERN TRAINING LIMITED
541653,2012,COMPANY,EDUCATION,CHRIS PRITCHARD
902238,2012,COMPANY,EDUCATION,CHRIS PRITCHARD
56217,2012,COLLEGE,EDUCATION,CIRENCESTER TERTIARY COLLEGE
221715,2012,COLLEGE,EDUCATION,CIRENCESTER TERTIARY COLLEGE
947413,2012,COLLEGE,EDUCATION,CIRENCESTER TERTIARY COLLEGE
10881630,2012,COMPANY,EDUCATION,CITB- CONSTRUCTIONSKILLS
22423813,2012,COMPANY,EDUCATION,CITB- CONSTRUCTIONSKILLS
222868,2012,COMPANY,EDUCATION,CITROEN UK LTD
592194,2012,COMPANY,EDUCATION,CITROEN UK LTD
127341,2012,COMPANY,EDUCATION,CITY AND GUILDS FOR BUSINESS LIMITED 
166715,2012,COMPANY,EDUCATION,CITY AND GUILDS FOR BUSINESS LIMITED 
113320,2012,COLLEGE,EDUCATION,CITY AND ISLINGTON COLLEGE
19252766,2012,COLLEGE,EDUCATION,CITY AND ISLINGTON COLLEGE
1150979,2012,COLLEGE,EDUCATION,CITY COLLEGE NORWICH
4265312,2012,COLLEGE,EDUCATION,CITY COLLEGE NORWICH
255471,2012,COLLEGE,EDUCATION,"CITY COLLEGE, BRIGHTON AND HOVE"
688791,2012,COLLEGE,EDUCATION,"CITY COLLEGE, BRIGHTON AND HOVE"
5816440,2012,COLLEGE,EDUCATION,"CITY COLLEGE, BRIGHTON AND HOVE"
894949,2012,COLLEGE,EDUCATION,"CITY COLLEGE, COVENTRY"
4524223,2012,COLLEGE,EDUCATION,"CITY COLLEGE, COVENTRY"
