,LeadROName,Department,ProjectCategory,AwardPounds,Region,year
357,University of Sheffield,Advanced Manufacturing Res Centre Boeing,Research Grant,995080.0,Yorkshire and The Humber,2013
358,University College London,,Research Grant,166749.0,London,2016
359,John Innes Centre,Crop Genetics,Training Grant,95042.0,East of England,2015
360,Ventive Ltd,,Collaborative R&D,240137.0,London,2018
361,Cardiff University,School of Medicine,Training Grant,96696.0,Wales,2016
362,University of Essex,Biological Sciences,Research Grant,695933.0,East of England,2016
363,University of Cambridge,Sociology,Fellowship,85527.0,East of England,2018
364,Royal College of Music,Programmes,Research Grant,35409.0,London,2017
365,Manchester Metropolitan University,,Knowledge Transfer Partnership,148445.0,North West,2018
366,University of South Wales,,Knowledge Transfer Partnership,140088.0,Wales,2018
